3||Praha|bazilika Nanebevzetí Panny Marie (Strahov)|Hlavní město Praha|Hlavní město Praha|Organa||45||50.0862139|14.3895722||1987|4|58|?|?|||||||||7|1|||1|||||1||1||římskokatolický kostel||||Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 110); Šlechta, Milan. Dějiny varhan a varhanní hudby: určeno pro posl. fak. hud. 2. vyd. Praha: SPN, 1973. 133 s.|||336||Na konci 18. století vznikl na Strahově rukama kněze a ředitele kůru Lohelia Öhlschlägela přestavbou z dřívějších varhan velký třímanuálový nástroj, který se však bohužel nedochoval. Na tyto varhany hrál při své návštěvě Prahy v r. 1787 i Mozart, na což upomíná jeho tzv. strahovská improvizace. Současný univerzální nástroj firmy Organa bohužel nedosahuje výraznějších uměleckých kvalit.|||1|||||
4|1|Praha|minoritský kostel sv. Jakuba Většího|Hlavní město Praha|Hlavní město Praha|Stark, Abrahám; Tuček, Jan; Rieger-Kloss||26||50.0883311|14.4249258||1705; 1941; 1982|4|91|ek|elektrická traktura, kuželková vzdušnice|||||||||2|0|1||||||1|1||||římskokatolický kostel||Audite organum|Největší varhany v Praze, hostící každoročně světoznámý varhanní festival.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 202); Tomší, Lubomír et al. Historické varhany v Čechách. 1. vyd. Praha: Libri, 2000. 263 s. ISBN 80-7277-009-8. (str. 133); Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 71)||https://auditeorganum.cz/; https://www.klasikaplus.cz/serial/item/3487-varhany-a-varhanici-10-br-bazilika-sv-jakuba-v-praze|539||V roce 1705 postavil do kostela velké dvoumanuálové varhany Abrahám Stark. Cenné varhany se zachovaly až do r. 1941, kdy byly Janem Tučkem s využitím části původního píšťalového fondu zcela přestavěny na romantický nástroj. Zdejší varhaník a iniciátor přestavby Bedřich Antonín Wiedermann toužil mít u sv. Jakuba především koncertní nástroj, schopný interpretace soudobé varhanní literatury. Tento požadavek byl nadřazen nad tehdy k nám již pronikající myšlenky varhanního hnutí, zdůrazňujícího úctu a obdiv k historickým barokním nástrojům. O vyřešení různých nedostatků Tučkových varhan se pokusila v 80. letech další přestavbou firma Rieger-Kloss. V roce 2011 provedla modernizaci hracího stolu firma Ponča.|||1|||||
5||Praha|kostel sv. Františka z Assisi (klášter křížovníků)|Hlavní město Praha|Hlavní město Praha|Stark, Abrahám|1659-1709|26||50.0864917|14.4142850||1701|2|14|?|?||||Kánský-Brachtl|8||2016||4|1|1|||||1||||||římskokatolický kostel||Slavné varhanní koncerty|Menší, ale dobře dochované Starkovy varhany.|Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 89)||http://kansky-brachtl.cz/www/restaurovani/dispozice/krizovnici; https://organconcerts.cz/|443||Stroj pozitivu má neobvyklou rejstříkovou dispozici, kde převažují smykavé hlasy, což u barokních varhan není obvyklé.|||1|||||
6||Praha|kostel Nejsvětějšího Salvátora (Staré Město, Křižovnická ul.)|Hlavní město Praha|Hlavní město Praha|neznámý||||50.086166|14.4150381||1780?|2||mz|mechanická traktura, zásuvková vzdušnice||||Eule, Hermann; Kánský-Brachtl|8||2011|13000000|3|1|1|||||1||||||římskokatolický kostel||||Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 96)||http://kansky-brachtl.cz/www/restaurovani/dispozice/salvator|429||Varhany obsahují konstrukčně zajímavý rejstřík Rohrfletten (Flétna trubicová), v našich zemích v době barokní velmi netypický. Na restaurování se spolu s firmou Kánský-Brachtl podílela německá firma Eule.||Cena restaurování: https://temata.rozhlas.cz/barokni-varhany-v-prazskem-kostele-nejsvetejsiho-salvatora-prosly-narocnou-8002747|1|||||
8||Praha|kostel sv. Markéty (Břevnov)|Hlavní město Praha|Hlavní město Praha|Kánský-Brachtl||8||50.0846975|14.3563814||2007|3|34|?|?||Dientzenhofer, Kilián Ignác|13000000||||||3|1||||1||||1|||Netradičně řešená skříň se sloupy a píšťalovými prospekty vytočenými do stran byla navržena architektem Dientzenhoferem. Levou a pravou část propojuje masivní spojovací oblouk.|římskokatolický kostel|||Velký novodobý nástroj čerpající z barokních tradic, reprezentativní dílo firmy Kánský-Brachtl.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 180); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2012/1, str. 4)||http://kansky-brachtl.cz/www/nastroje/dispozice/brevnov|1865||Na kůru stál až do konce 19. století dvoumanuálový barokní nástroj slezského varhanáře Tobiase Meissnera z roku 1727. Na tradici slezského barokního varhanářství navazuje i novostavba firmy Kánský-Brachtl. Kvůli umístění v atypické původní skříni vyžadovaly varhany důmyslné konstrukční řešení mechanické traktury. Nástroj je jedinečný zvukovými kvalitami i řemeslným zpracováním, včetně stylového hracího stolu.||Cena varhan: http://www.spolekbrevnovskychzivnostniku.cz/index.php?mid=108|1|||||
9||Praha|kostel Matky Boží před Týnem (Staré Město)|Hlavní město Praha|Hlavní město Praha|Mundt, Heinrich|1632-1691|10||50.0877381|14.4227072||1673|2|29|mz|mechanická traktura, zásuvková vzdušnice||||Klais, Johannes||26|2000||1|1|1|||||1||||||římskokatolický kostel|||Starobylý a nesmírně zvukově cenný nástroj.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 196); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2011/1, str. 3)||http://www.tyn.cz/cz/index.php?stranka=tnsk-varhany; https://www.klasikaplus.cz/serial/item/3157-varhany-a-varhanici-1-br-tynsky-barokni-skvost; https://operaplus.cz/prazske-varhany-2-kostel-matky-bozi-pred-tynem/|286||Zvuková podoba varhan byla jen mírně upravena v 19. století Josefem Gartnerem, který rovněž posunul varhanní skříň více do zadní části kůru. Jinak se nástroj zachoval beze změn, což je pro varhany na tak exponovaném místě velmi neobvyklé. Během restaurování firmou Klais zůstala skříň ve stejné pozici, do které ji přesunul Gartner. Akustické důsledky tohoto rozhodnutí bývají předmětem diskuzí.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Praha%2C_T%C3%BDnsk%C3%BD_chr%C3%A1m%2C_varhany_01.jpg/640px-Praha%2C_T%C3%BDnsk%C3%BD_chr%C3%A1m%2C_varhany_01.jpg|Francesco Gasparetti, CC BY 2.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Prague_07-2016_View_from_Old_Town_Hall_Tower_img2.jpg/512px-Prague_07-2016_View_from_Old_Town_Hall_Tower_img2.jpg|A.Savin, FAL, via Wikimedia Commons
10||Praha|kostel sv. Mikuláše (Malá Strana)|Hlavní město Praha|Hlavní město Praha|Schwarz, Tomáš; Gartnerové; Organa|1695-1754|21;4;45||50.0879753|14.4032150||1746;1835;1956|3|43|mz|mechanická traktura, zásuvková vzdušnice|||||||||2|1|1|||||1||||1||římskokatolický kostel|||Významný nástroj Tomáše Schwarze a jeden z největších barokních nástrojů u nás.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 190)|||294||Na počátku 19. století byly na varhanách provedeny nešťastné změny rejstříkové dispozice v rámci experimentů hudebního teoretika Georga Josepha Voglera („Abbé Vogler“). Citlivou rekonstrukci poté provedl Josef Gartner. V 50. letech 20. století byly varhany přestavěny firmou Organa, která použila nepříliš kvalitní elektropneumatickou trakturu. V současnosti jsou varhany nehratelné a čekají na opravu.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Chram_sv_Mikulase_interier_vstup-varhany.jpg/405px-Chram_sv_Mikulase_interier_vstup-varhany.jpg|Ludek, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Prague_07-2016_view_from_Lesser_Town_Tower_of_Charles_Bridge_img1.jpg/384px-Prague_07-2016_view_from_Lesser_Town_Tower_of_Charles_Bridge_img1.jpg|A.Savin, FAL, via Wikimedia Commons
11||Praha|kostel sv. Mikuláše (Malá Strana), levá empora|Hlavní město Praha|Hlavní město Praha|Schwarz, Tomáš|1695-1754|21||50.0879753|14.4032150||1746|2|17|mz|mechanická traktura, zásuvková vzdušnice||||Heger, Miroslav|||1993||5|1|1|||||1||||||římskokatolický kostel||pravidelné varhanní koncerty u sv. Mikuláše||Tomší, Lubomír et al. Historické varhany v Čechách. 1. vyd. Praha: Libri, 2000. 263 s. ISBN 80-7277-009-8. (str. 133); Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 96-97)|||302||Menší Schwarzovy varhany stojí na boční empoře a pravidelně se používají při bohoslužebném a koncertním provozu.|||1|||||
12||Praha|kostel Narození Páně (Hradčany)|Hlavní město Praha|Hlavní město Praha|králičtí varhanáři||6||50.0892925|14.3920533||1718|2|18|mz|mechanická traktura, zásuvková vzdušnice||||Šlajch, Vladimír|28||1993||1|1|1|||||1||||||římskokatolický kostel|||Velmi dobře dochovaný nástroj králické dílny.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 210); Rejšek, Radek. Varhany kostela Narození Páně v pražské Loretě = Organ of the Church of the Nativity of Our Lord in Loreto. 1. vyd. Praha: Provincie kapucínů v ČR, 2015. [20] s. ISBN 978-80-905228-7-9.; Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (6/2015, str. 1)||https://www.loreta.cz/cs/hudba/varhany-kostela-narozeni-pane; https://www.vladimirslajch.cz/varhany/zobraz_projekty.php?id=Praha_Loreta|428||Varhany v pražské Loretě začal stavět pražský varhanář Leopold Spiegel, ale dokončili je až varhanáři z dalekých Králík – Jan Halbich, František Katzer a Kašpar Weltzel. Varhany disponují tzv. lomenou oktávou, kde je ve spodní manuálové poloze díky rozdělení dvou černých kláves na dvě poloviny umožněno hrát chromatické tóny Fis a Gis, což bylo u barokních varhan v českých spíše výjimkou. Nástroj disponuje hned šesti rejstříky v hluboké základní poloze, což je u tak malých varhan v baroku ojedinělé.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Loretokirche_Prag_Empore.jpg/640px-Loretokirche_Prag_Empore.jpg|Ricardalovesmonuments, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Hrad%C4%8Dany_Loreta_3.jpg/640px-Hrad%C4%8Dany_Loreta_3.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons
13||Praha|bývalý kostel sv. Vavřince (Malá Strana)|Hlavní město Praha||Šlajch, Vladimír||28||50.0846017|14.4037572||1995|1||||1||||||||7|1||||1||||||||koncertní síň v bývalém kostele|||||||4027||Postaveno podle vzoru Bedřicha Semeráda. Pedál je původní.||||||||
15||Praha|kostel sv. Šimona a Judy|Hlavní město Praha|Hlavní město Praha|Wambesser, Andreas|1720-1794||17|50.0920136|14.4206150||1724|2|20|?|?||||Šlajch, Vladimír|28||||3|1|1|||||1||||||koncertní síň v bývalém kostele||||Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 95)||https://www.vladimirslajch.cz/varhany/zobraz_projekty.php?id=Praha_Simon|334||Kostel slouží jako koncertní síň využívaná orchestrem FOK.|||1|||||
50||Praha|kostel sv. Ludmily (Vinohrady)|Hlavní město Praha|Hlavní město Praha|Petr, Emanuel Štěpán|1853-1930|12||50.0754669|14.4371797||1898|3|46|m-Bkk-mBk|mechanická traktura s Barkerovou pákou, kuželková vzdušnice||||Kánský-Brachtl|8||2018|6000000|4|1||1|||||1|||||římskokatolický kostel||Nedělní varhanní hudba|Nejzachovalejší Petry varhany této velikosti v Praze.|Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 200)|||339||||Cena restaurování: https://dabpraha.rozhlas.cz/restauratori-opravili-vzacne-varhany-z-kostela-sv-ludmily-na-namesti-miru-7636171|1|||||
51||Praha|kostel sv. Ignáce (Nové Město)|Hlavní město Praha|Hlavní město Praha|Petr, Emanuel Štěpán|1853-1930|12||50.0754656|14.4211639||1911|3|50|mk|mechanická traktura, kuželková vzdušnice||||Kánský-Brachtl|8||2013||4|1||1|||||1|||||římskokatolický kostel||||Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 101, 217)||http://kansky-brachtl.cz/www/nastroje/dispozice/ignacpraha ; https://www.kostelignac.cz/index.php?page=17&art=79|773||Zvukově hodnotný nástroj postavil Emanuel Štěpán Petr jako pneumatický do původní barokní skříně. I kvůli potížím s nedostatkem místa ve staré skříni byl nástroj od počátku obtížně udržovatelný. Při rekonstrukci firmou Kánský-Brachtl došlo ke změně traktury na spolehlivější mechanickou.|||1|||||
52||Praha|kostel sv. Cyrila a Metoděje (Karlín)|Hlavní město Praha|Hlavní město Praha|Petr, Emanuel Štěpán|1853-1930|12||50.0913342|14.4480689||1899|3|61|m-Bkk-mBk|mechanická traktura s Barkerovou pákou, kuželková vzdušnice|||||||||6|1||1|||||1|||1||římskokatolický kostel|||Největší dochovaný nástroj Emanuela Štěpána Petra.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 188); Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 187)|||291||Do nově zbudovaného karlínského kostela postavil v r. 1863 varhanář Josef Prediger své životní dílo, velké třímanuálové varhany, vycházející ještě z tradic klasického barokního a raně romantického varhanářství. Po pouhých třech desítkách let však byl nástroj vlivem změny zvukově estetického vnímání nahrazen novým romantickým nástrojem Emanuela Štěpána Petra s pneumatickou trakturou, přičemž byla využita část píšťalového fondu původních Predigerových varhan. Varhany vyžadují rekonstrukci.|||1|||||
55||Praha|kostel sv. Petra a Pavla (Vyšehrad)|Hlavní město Praha|Hlavní město Praha|Paštikové||2||50.0644239|14.4178456||1903|3|49|epk|elektropneumatická traktura||||Rieger-Kloss|14||1995||2|1||1|||||1|||||římskokatolický kostel||Varhanní Vyšehrad|Největší v původní podobě zachovalý nástroj bratří Paštiků.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 212)||https://bazilika.kkvys.cz/cs/o-bazilice/vysehradske-varhany; https://www.klasikaplus.cz/serial/item/3585-varhany-a-varhanici-12-br-bazilika-sv-petra-a-pavla-na-vysehrade|340||Velký nástroj ze začátku 20. století reprezentuje vrcholně romantické pražské varhanářství. Původně čistě mechanická traktura byla při opravě firmou Rieger-Kloss částečně elektrifikována.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Praha_2%2C_Pevnost_Vy%C5%A1ehrad_20170808_020.jpg/320px-Praha_2%2C_Pevnost_Vy%C5%A1ehrad_20170808_020.jpg|Tilman2007, CC BY-SA 4.0, via Wikimedia Commons||
57||Praha|kostel sv. Tomáše (Malá Strana)|Hlavní město Praha|Hlavní město Praha|Paštikové||2||50.0887053|14.4056272||1923|3|28|||||96750|Dlabal-Mettler|48||2017||5|1||1|||||1|||||římskokatolický kostel|||||||293||||||||||
58||Praha|opatský kostel Nanebevzetí P. Marie v Emauzích (Nové Město)|Hlavní město Praha||Paštikové||2||50.0723317|14.4175403||1898|3||||||||||||2|0||1|||||1|||||římskokatolický kostel||||||https://varhany-pro-emauzy.cz/o-emauzich/varhany; https://www.emauzy.cz/cz/historie/varhany_kaiser.pdf|321||Paštikův nástroj byl zvětšením původních dvoumanuálových varhan Heinricha Koulena (1893). Varhany se nedochovaly vlivem poničení kostela ve 2. světové válce.|||||https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Emauzy_katedr%C3%A1la_PM.jpg/368px-Emauzy_katedr%C3%A1la_PM.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons||
66||Praha|katedrála sv. Víta, Václava a Vojtěcha, Wohlmutova kruchta, dolní varhany|Hlavní město Praha|Hlavní město Praha|Melzer, Josef|1871-1958|9||50.0908936|14.4006036||1929|3|57|pv|pneumatická traktura, výpustná vzdušnice||||Kánský-Brachtl|8||2001||3|1||1|||||1|||||římskokatolický kostel||Svatovítské varhanní večery|Varhany plní již téměř 100 let funkci hlavního nástroje svatovítské katedrály.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 184)||https://operaplus.cz/prazske-varhany-1-katedrala-sv-vita; http://kansky-brachtl.cz/www/restaurovani/dispozice/vit; https://www.varhannifestival.cz/|1611||Z významných varhan stojících v minulosti v hlavním českém chrámu je nutné zmínit velikostí i zvukovou krásou světově proslulé renesanční Ferdinandovy varhany z r. 1567, které byly zničeny během pruského ostřelování Prahy v r. 1757. Jejich náhradou se staly velké třímanuálové barokní varhany tachovského varhanáře Antonína Gartnera. Z těchto varhan se dochovala pouze skříň s prospektovými píšťalami, umístěná v horním patře Wohlmutovy kruchty. V rámci slavnostní dostavby katedrály v r. 1929 bylo plánováno pořízení velkého reprezentativního nástroje. Z finančních a časových důvodů byl však objednán pouze relativně menší nástroj Josefa Melzera, v průběhu stavby ještě dodatečně rozšiřovaný. Varhany, ač zvukově zdařilé, pro svou velikost a umístění nenaplňují zcela obrovský katedrální prostor. I proto bylo v 21. století přistoupeno ke stavbě nových velkých varhan na hlavní (západní) kruchtě katedrály.|||1|||||
67||Praha|katedrála sv. Víta, Václava a Vojtěcha, západní kruchta|Hlavní město Praha|Hlavní město Praha|Grenzing, Gerhard|||18|50.0908936|14.4006036|Španělsko|2025|4|92|mz; rejstříková traktura elektrická|mechanická traktura, zásuvková vzdušnice; rejstříková traktura elektrická|||80000000||||||1|1||||||||1||1||římskokatolický kostel|||Velký reprezentativní nástroj pro svatovítskou katedrálu.|Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 237)||https://www.svatovitskevarhany.com/|?||Velké varhany budou umístěny na velké západní kruchtě katedrály, nikoli na Wohlmutově kruchtě, kde stojí starší nástroj Josefa Melzera. Plány na stavbu velkých varhan sahají až do 20. let 20. století, kdy také vznikl nerealizovaný návrh Bedřicha Antonína Wiedermanna na gigantický nástroj o 225 hlasech v pěti manuálech.||Na varhany.net varhany nejsou.|1||https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Katedr%C3%A1la_Svat%C3%A9ho_V%C3%ADta%2C_Hrad%C4%8Dany%2C_Praha%2C_Hlavn%C3%AD_M%C4%9Bsto_Praha%2C_%C4%8Cesk%C3%A1_Republika_%2848791639118%29.jpg/360px-Katedr%C3%A1la_Svat%C3%A9ho_V%C3%ADta%2C_Hrad%C4%8Dany%2C_Praha%2C_Hlavn%C3%AD_M%C4%9Bsto_Praha%2C_%C4%8Cesk%C3%A1_Republika_%2848791639118%29.jpg|Warren LeMay from Cullowhee, NC, United States, CC0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Southern_Exterior_of_St._Vitus_Cathedral_with_monument.jpg/513px-Southern_Exterior_of_St._Vitus_Cathedral_with_monument.jpg|Mattsjc, CC BY-SA 4.0, via Wikimedia Commons
68||Praha|kostel sv. Vojtěcha|Hlavní město Praha|Hlavní město Praha|Steinmeyer|||19|50.0785978|14.4152228|Německo|1877|2|19|mk|mechanická traktura, kuželková vzdušnice|||||||||5|1||1|||||1|||||římskokatolický kostel|||První varhany s typicky romantickou rejstříkovou dispozicí v Praze, ovlivnily budoucí vývoj varhanářství u nás.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 192)|||307||Stavbu varhan inicioval tehdejší ředitel kůru u sv. Vojtěcha, skladatel Josef Förster (1804-1892). Varhany německé firmy Steinmeyer byly postaveny v duchu tzv. řezenské ceciliánské reformy, obsahují tedy především rejstříky typické pro romantické varhanářství (rejstříky v hlubokých polohách, smykavé hlasy atd.). Varhany ve stejném reformním duchu postavila firma Steinmeyer již v r. 1876 v bazilice Nanebevzetí Panny Marie na Starém Brně. Z tohoto nástroje, oceňovaného i Leošem Janáčkem, se však dochovala jen skříň.|||1|||||
70||Praha|Obecní dům, Smetanova síň|Hlavní město Praha|Hlavní město Praha|Voit und Söhne|||20|50.0877764|14.4277778|Německo|1911|3|70|ep|elektrická traktura||Balšánek, Antonín||Vleugels||21|1997||1|1||1|||||1|||||koncertní síň|1||Zvukově jedinečný romantický nástroj vzbudil ve své době pozornost i inovativním technickým řešením (použití elektrické traktury).|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 206)||https://www.klasikaplus.cz/serial/item/3420-varhany-a-varhanici-9-br-varhany-smetanovy-sine|4537||Na svou dobu progresivní použití elektrické traktury umožnilo zkonstruování pojízdného hracího stolu. Varhany zvukově zkomolila přestavba firmou Organa v 50. letech. V 90. letech však byly restaurovány do původní podoby německou firmou Vleugels. Při hraní lze používat původní historický hrací stůl, nebo nový stůl dodaný firmou Vleugels. Varhany vynikají širokou paletou jemně odstíněných rejstříků. V meziválečné době na varhanách často koncertoval uznávaný český varhaník Bedřich Antonín Wiedermann.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Smetana_Hall_at_the_Municipal_House_%28Obecni_Dum%29%2C_Prague_-_8973.jpg/640px-Smetana_Hall_at_the_Municipal_House_%28Obecni_Dum%29%2C_Prague_-_8973.jpg|© Jorge Royan / http://www.royan.com.ar|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Prague_Municipal_House_01.jpg/640px-Prague_Municipal_House_01.jpg|Uoaei1, CC BY-SA 4.0, via Wikimedia Commons
72||Praha|kostel Panny Marie Vítězné|Hlavní město Praha|Hlavní město Praha|Schiffner, Jindřich|1853-1938|20||50.0856756|14.4034003||1902|2|34|pk|pneumatická traktura, kuželková vzdušnice|||||||||4|1||1|||||1|||||římskokatolický kostel||||Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 212)|||298||V kostele u Pražského Jezulátka se nachází menší zachovalý nástroj Jindřicha Schiffnera, vestavěný do barokní skříně.|||1|||||
73||Praha|kostel sv. Štěpána (Nové Město)|Hlavní město Praha|Hlavní město Praha|Rieger||13||50.0763742|14.4248200||1887|2|25|m|mechanická traktura|||||||||6|1||1|||||1|||||římskokatolický kostel|||Jediný významný historický nástroj firmy Rieger dochovaný v Praze.|Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 192)|||316||Nástroj pochází z raného období firmy Rieger.|||1|||||
79|1|Praha|Rudolfinum, Dvořákova síň|Hlavní město Praha|Hlavní město Praha|Rieger-Kloss||14||50.0899300|14.4154419||1974|4|63|mz|mechanická traktura, zásuvková vzdušnice||Sauer, Wilhelm (varhanář)|||||||2|1|||1|||||1||1||koncertní síň|1||Jeden z nejkvalitnějších poválečných nástrojů firmy Rieger-Kloss, postavený z kvalitních materiálů a za účasti zahraničních odborníků|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 208)||https://www.klasikaplus.cz/serial/item/3297-varhany-a-varhanici-5-prvni-koncertni-varhany-v-praze|2410||Ve Dvořákově síni Rudolfina se vystřídalo několik nástrojů. Současné varhany stojí ve skříni z původních varhan Wilhelma Sauera z r. 1885. Jedná se o první čtyřmanuálové varhany s mechanickou trakturou u nás (pro jednoduchost konstrukce a snadnost hry se u takto velkých varhan používala spíše traktura elektrická). Na umělecké a technické koncepci varhan se podíleli mj. Jiří Reinberger, významný český koncertní varhaník, a německý varhanář Rudolf von Beckerath.|||1|||||
100||Praha|HAMU, sál Bohuslava Martinů|Hlavní město Praha|Hlavní město Praha|Rieger-Kloss||14||50.0876694|14.4023103||1993|3|41|mz|mechanická traktura, zásuvková vzdušnice|||||||||9|1||||1||||1||||koncertní síň|1|||||https://operaplus.cz/prazske-varhany-3-sal-martinu-lichtenstejnsky-palac-hudebni-a-tanecni-fakulta-amu-v-praze/|2630||Mechanické varhany jsou postaveny do pseudobarokní skříně, jejíž zdobení bylo inspirováno barokním interiérem sálu Martinů.||Není na varhany.net|1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Praha-HAMU-s%C3%A1l-Martin%C5%AF-interi%C3%A9r2013.jpg/640px-Praha-HAMU-s%C3%A1l-Martin%C5%AF-interi%C3%A9r2013.jpg|Ben Skála, Benfoto, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mal%C3%A1_Strana%2C_Malostransk%C3%A9_n%C3%A1m._Lichten%C5%A1tejnsk%C3%BD_pal%C3%A1c_3.jpg/640px-Mal%C3%A1_Strana%2C_Malostransk%C3%A9_n%C3%A1m._Lichten%C5%A1tejnsk%C3%BD_pal%C3%A1c_3.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons
103||Praha|kostel sv. Salvátora (Staré Město, Salvátorská ul.)|Středočeský|Hlavní město Praha|Eule, Hermann|||11|50.0891342|14.4207561|Německo|2011|3|47|mz|mechanická traktura, zásuvková vzdušnice||Karel Vocelka (varhanář)|20000000||||||3|1||||1||||1||||evangelický kostel||Varhanní podvečery u Salvátora|Ojedinělá novostavba velkých varhan respektované zahraniční firmy.|Němec, Vladimír. Pražské varhany. 1. vyd. Praha: František Novák, 1944. 349, [II] s. Naše poklady; sv. 1. (str. 125)||https://www.kostelusalvatora.cz/index.php/kostel/20-varhany|511||Varhany byly postaveny do renovované skříně Karla Vocelky, který do salvátorského kostela dodal varhany v r. 1865. Sedm zachovalých rejstříků z tohoto staršího nástroje bylo využito i v nových varhanách. Zvuková koncepce nového nástroje vychází ze středoněmeckých pozdně barokních a raně romantických varhan.||Cena varhan: https://prazsky.denik.cz/zpravy_region/vericim-zahraji-u-salvatora-nove-varhany20101223.html|1||https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Salv%C3%A1tor-evang-kostel2012interi%C3%A9r2.jpg/640px-Salv%C3%A1tor-evang-kostel2012interi%C3%A9r2.jpg|Ben Skála, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Star%C3%A9_M%C4%9Bsto_kostel_sv._Salv%C3%A1tora_1.jpg/628px-Star%C3%A9_M%C4%9Bsto_kostel_sv._Salv%C3%A1tora_1.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons
